bugid,status,pri,,,,,,,
4,Fixed,2,,,,,,,
5,WontFix,2,,,,,,,
6,WontFix,2,,,,,,,
7,WontFix,2,,,,,,,
8,Fixed,2,,,,,,,
10,Invalid,2,,,,,,,
11,Verified,2,,,,,,,
12,WontFix,2,,,,,,,
14,WontFix,2,,,,,,,
15,WontFix,2,,,,,,,
16,Duplicate,2,,,,,,,
19,Fixed,2,,,,,,,
20,Verified,2,,,,,,,
21,Duplicate,2,,,,,,,
22,WontFix,2,,,,,,,
25,Fixed,2,,,,,,,
28,WontFix,2,,,,,,,
29,Verified,2,,,,,,,
34,Fixed,2,,,,,,,
36,Duplicate,2,,,,,,,
38,Fixed,2,,,,,,,
40,Invalid,2,,,,,,,
44,Fixed,2,,,,,,,
45,WontFix,2,,,,,,,
49,Verified,2,,,,,,,
51,Fixed,2,,,,,,,
59,WontFix,2,,,,,,,
60,Fixed,2,,,,,,,
62,Fixed,2,,,,,,,
65,Fixed,2,,,,,,,
67,Duplicate,2,,,,,,,
68,WontFix,2,,,,,,,
71,WontFix,2,,,,,,,
74,Verified,NewHTTP,,,,,,,
75,Available,3,,,,,,,
80,Duplicate,2,,,,,,,
85,WontFix,2,,,,,,,
91,Verified,2,,,,,,,
92,Available,2,,,,,,,
94,Duplicate,2,,,,,,,
95,Verified,2,,,,,,,
98,Verified,2,,,,,,,
99,Duplicate,2,,,,,,,
100,Verified,1,,,,,,,
101,Duplicate,2,,,,,,,
102,Invalid,2,,,,,,,
104,Fixed,2,,,,,,,
106,WontFix,2,,,,,,,
108,Duplicate,2,,,,,,,
110,WontFix,2,,,,,,,
115,Verified,1,,,,,,,
118,Assigned,2,,,,,,,
119,WontFix,3,,,,,,,
120,Verified,2,,,,,,,
121,Duplicate,2,,,,,,,
122,Verified,1,,,,,,,
125,Invalid,2,,,,,,,
126,Available,2,,,,,,,
129,Fixed,2,,,,,,,
132,Duplicate,2,,,,,,,
135,Verified,2,,,,,,,
143,Fixed,2,,,,,,,
144,Verified,2,,,,,,,
146,Fixed,2,,,,,,,
148,Fixed,2,,,,,,,
149,WontFix,2,,,,,,,
151,Fixed,2,,,,,,,
154,Fixed,2,,,,,,,
157,Duplicate,2,,,,,,,
158,Fixed,1,,,,,,,
160,Fixed,3,,,,,,,
164,Invalid,2,,,,,,,
166,Fixed,2,,,,,,,
177,WontFix,2,,,,,,,
178,Duplicate,2,,,,,,,
179,WontFix,3,,,,,,,
183,Fixed,3,,,,,,,
189,WontFix,2,,,,,,,
204,Verified,2,,,,,,,
205,Fixed,2,,,,,,,
206,Verified,2,,,,,,,
208,Duplicate,2,,,,,,,
211,Duplicate,2,,,,,,,
214,Invalid,2,,,,,,,
215,Verified,2,,,,,,,
219,WontFix,2,,,,,,,
221,Duplicate,2,,,,,,,
222,WontFix,2,,,,,,,
231,Fixed,1,,,,,,,
233,Duplicate,3,,,,,,,
240,WontFix,2,,,,,,,
241,Invalid,2,,,,,,,
242,Verified,1,,,,,,,
246,Available,2,,,,,,,
247,WontFix,2,,,,,,,
248,Fixed,2,,,,,,,
250,WontFix,2,,,,,,,
254,Duplicate,2,,,,,,,
257,Duplicate,2,,,,,,,
258,Invalid,2,,,,,,,
259,WontFix,2,,,,,,,
261,Invalid,2,,,,,,,
265,Fixed,2,,,,,,,
268,Fixed,2,,,,,,,
269,Verified,2,,,,,,,
274,Duplicate,2,,,,,,,
275,Fixed,2,,,,,,,
276,Duplicate,2,,,,,,,
277,Fixed,2,,,,,,,
278,Fixed,2,,,,,,,
279,Fixed,2,,,,,,,
281,Available,3,,,,,,,
283,Invalid,2,,,,,,,
287,Duplicate,2,,,,,,,
288,WontFix,2,,,,,,,
292,WontFix,3,,,,,,,
293,Fixed,2,,,,,,,
297,Fixed,2,,,,,,,
300,WontFix,2,,,,,,,
301,WontFix,2,,,,,,,
303,Fixed,2,,,,,,,
310,WontFix,2,,,,,,,
318,Fixed,2,,,,,,,
323,WontFix,2,,,,,,,
327,Duplicate,2,,,,,,,
328,Verified,2,,,,,,,
331,WontFix,2,,,,,,,
333,Available,2,,,,,,,
342,Duplicate,2,,,,,,,
345,Duplicate,2,,,,,,,
346,Verified,2,,,,,,,
348,Fixed,1,,,,,,,
355,Fixed,2,,,,,,,
361,WontFix,2,,,,,,,
362,Fixed,2,,,,,,,
372,IceBox,3,,,,,,,
375,Duplicate,2,,,,,,,
382,WontFix,2,,,,,,,
384,Fixed,2,,,,,,,
389,WontFix,2,,,,,,,
394,Duplicate,2,,,,,,,
395,Invalid,2,,,,,,,
397,Fixed,2,,,,,,,
404,Fixed,2,,,,,,,
407,WontFix,2,,,,,,,
412,Fixed,2,,,,,,,
425,Fixed,2,,,,,,,
